ChemicalId,Kg,RealKg,ScalerId,StartScale,EndScale
51,24000.00,23990.00,1052,2021-07-02 14:32:20.073,2021-07-02 14:32:41.973
52,4080.00,4050.00,1052,2021-07-02 14:32:51.660,2021-07-02 14:33:03.020
52,4080.00,4040.00,1052,2021-07-03 13:06:53.837,2021-07-03 13:07:05.507
64,6000.00,5950.00,1052,2021-07-03 13:07:07.160,2021-07-03 13:07:21.877
58,1020.00,970.00,1053,2021-07-06 12:39:03.860,2021-07-06 12:39:12.403
153,2040.00,1990.00,1053,2021-07-06 12:39:24.920,2021-07-06 12:39:30.753
71,2040.00,2020.00,1053,2021-07-06 12:39:44.157,2021-07-06 12:39:51.527
147,1500.00,1470.00,1053,2021-07-06 12:39:56.990,2021-07-06 12:40:02.193
153,2010.00,1990.00,1053,2021-07-07 18:32:19.770,2021-07-07 18:32:26.080
71,2010.00,1960.00,1053,2021-07-07 18:32:32.713,2021-07-07 18:32:40.127
147,1500.00,1470.00,1053,2021-07-07 18:32:46.727,2021-07-07 18:32:52.557
58,1020.00,970.00,1053,2021-07-07 18:33:00.277,2021-07-07 18:33:13.623
51,12000.00,11970.00,1052,2021-07-12 09:05:29.790,2021-07-12 09:05:55.670
52,2040.00,2020.00,1052,2021-07-12 09:06:01.473,2021-07-12 09:06:10.340
58,510.00,460.00,1052,2021-07-12 09:06:22.040,2021-07-12 09:06:29.920
64,3000.00,2990.00,1052,2021-07-12 15:50:16.423,2021-07-12 15:50:24.830
58,4080.00,4030.00,1052,2021-07-12 11:46:12.197,2021-07-12 11:46:38.070
153,4080.00,4050.00,1052,2021-07-12 11:46:45.597,2021-07-12 11:46:55.683
51,24000.00,23990.00,1052,2021-07-12 16:06:22.573,2021-07-12 16:06:44.870
52,4080.00,4050.00,1052,2021-07-12 16:06:58.470,2021-07-12 16:07:10.307
58,2040.00,1990.00,1053,2021-07-13 19:05:57.993,2021-07-13 19:06:13.517
153,2040.00,2010.00,1053,2021-07-13 19:06:18.320,2021-07-13 19:06:24.140
71,2040.00,1990.00,1053,2021-07-13 19:06:28.820,2021-07-13 19:06:54.993
147,1500.00,1470.00,1053,2021-07-13 19:06:59.430,2021-07-13 19:07:04.557
190,2040.00,2020.00,1053,2021-07-13 19:07:07.797,2021-07-13 19:07:13.710
141,3999.00,3960.00,1052,2021-07-13 16:28:44.070,2021-07-13 16:28:53.450
